1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
73, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
74, plains, minecraft:plains, MONSTER, earthmobsmod:bouldering_zombie, 20, 4, 4
75, plains, minecraft:plains, MONSTER, undead_revamp2:thespectre, 10, 2, 4
76, plains, minecraft:plains, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
77, plains, minecraft:plains, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
78, plains, minecraft:plains, MONSTER, undead_revamp2:sucker, 7, 2, 3
79, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
80, plains, minecraft:plains, MONSTER, minecraft:illusioner, 15, 1, 1
81, plains, minecraft:plains, MONSTER, majruszsdifficulty:tank, 3, 1, 1
82, plains, minecraft:plains, MONSTER, enemyexpansion:meature, 3, 1, 4
83, plains, minecraft:plains, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
84, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
85, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide, 20, 1, 1
86, plains, minecraft:plains, MONSTER, quark:stoneling, 70, 1, 1
87, plains, minecraft:plains, MONSTER, quark:toretoise, 40, 2, 4
88, plains, minecraft:plains, MONSTER, born_in_chaos_v1:corpse_fly, 1, 1, 3
89, plains, minecraft:plains, MONSTER, undead_revamp2:thehunter, 6, 2, 4
90, plains, minecraft:plains, MONSTER, undead_revamp2:bomber, 7, 1, 2
91, plains, minecraft:plains, MONSTER, undead_revamp2:thegliter, 20, 2, 4
92, plains, minecraft:plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 4, 1, 1
93, plains, minecraft:plains, MONSTER, undead_revamp2:theswarmer, 8, 1, 1
94, plains, minecraft:plains, MONSTER, undead_revamp2:thebidy, 1, 3, 4
95, plains, minecraft:plains, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
96, plains, minecraft:plains, MONSTER, undead_revamp2:theheavy, 1, 1, 1
97, plains, minecraft:plains, MONSTER, undead_revamp2:thebeartamer, 8, 1, 1
98, plains, minecraft:plains, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
99, plains, minecraft:plains, MONSTER, enemyexpansion:gabble, 15, 1, 1
100, plains, minecraft:plains, MONSTER, undead_revamp2:thespitter, 7, 1, 1
101, plains, minecraft:plains, MONSTER, enemyexpansion:crawler, 35, 1, 1
102, plains, minecraft:plains, MONSTER, born_in_chaos_v1:seared_spirit, 2, 1, 1
103, plains, minecraft:plains, MONSTER, undead_revamp2:thepregnant, 2, 1, 1
104, plains, minecraft:plains, MONSTER, undead_revamp2:thewolf, 4, 1, 2
105, plains, minecraft:plains, MONSTER, enemyexpansion:silverking, 30, 1, 1
106, plains, minecraft:plains, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
107, plains, minecraft:plains, MONSTER, enemyexpansion:petriman, 35, 1, 3
108, plains, minecraft:plains, MONSTER, enemyexpansion:spectre, 50, 1, 1
109, plains, minecraft:plains, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
110, plains, minecraft:plains, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
111, plains, minecraft:plains, MONSTER, enemyexpansion:sprinter, 25, 1, 1
112, plains, minecraft:plains, MONSTER, enemyexpansion:dreadnought, 1, 1, 1
113, plains, minecraft:plains, MONSTER, enemyexpansion:equestrian, 15, 1, 1
114, plains, minecraft:plains, MONSTER, enemyexpansion:vampire, 13, 1, 1
115, plains, minecraft:plains, MONSTER, undead_revamp2:theordure, 4, 1, 1
116, plains, minecraft:plains, MONSTER, enemyexpansion:senior, 18, 1, 1
117, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
118, plains, minecraft:plains, MONSTER, enemyexpansion:fly, 1, 1, 5
119, plains, minecraft:plains, MONSTER, enemyexpansion:slugger, 20, 1, 1
120, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
121, plains, minecraft:plains, MONSTER, enemyexpansion:tarantula, 40, 1, 1
122, plains, minecraft:plains, MONSTER, enemyexpansion:huntsmanskeleton, 40, 1, 2
123, plains, minecraft:plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
124, plains, minecraft:plains, MONSTER, undead_revamp2:slaveman, 1, 1, 1
125, plains, minecraft:plains, MONSTER, enemyexpansion:caster, 10, 1, 1
126, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
127, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
128, plains, minecraft:plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
129, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
130, plains, minecraft:plains, MONSTER, alexsmobs:farseer, 30, 1, 1
131, plains, minecraft:plains, MONSTER, alexsmobs:murmur, 5, 1, 1
132, plains, minecraft:plains, MONSTER, undead_revamp2:thehorrorsdecoys, 3, 1, 2
133, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 8, 1, 1
134, plains, minecraft:plains, MONSTER, enemyexpansion:wolfsbane, 15, 1, 1
135, plains, minecraft:plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
136, plains, minecraft:plains, MONSTER, born_in_chaos_v1:phantom_creeper, 8, 1, 1
137, plains, minecraft:plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
138, plains, minecraft:plains, MONSTER, enemyexpansion:errant, 30, 1, 2
139, plains, minecraft:plains, MONSTER, enemyexpansion:zobgoblin, 25, 1, 3
140, plains, minecraft:plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
141, plains, minecraft:plains, MONSTER, enemyexpansion:gallant, 25, 1, 1
142, plains, minecraft:plains, MONSTER, savage_and_ravage:skeleton_villager, 5, 1, 1
143, plains, minecraft:plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
144, plains, minecraft:plains, MONSTER, enemyexpansion:cockatrice, 15, 1, 1
145, plains, minecraft:plains, MONSTER, enemyexpansion:goblin, 35, 1, 3
146, plains, minecraft:plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 6, 1, 1
147, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
148, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 8, 8
149, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
150, plains, minecraft:plains, CREATURE, minecraft:donkey, 1, 1, 3
151, plains, minecraft:plains, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
152, plains, minecraft:plains, CREATURE, earthmobsmod:fancy_chicken, 6, 3, 6
153, plains, minecraft:plains, CREATURE, earthmobsmod:duck, 8, 3, 6
154, plains, minecraft:plains, CREATURE, earthmobsmod:albino_cow, 6, 3, 6
155, plains, minecraft:plains, CREATURE, earthmobsmod:cream_cow, 6, 3, 6
156, plains, minecraft:plains, CREATURE, earthmobsmod:teacup_pig, 5, 3, 6
157, plains, minecraft:plains, CREATURE, earthmobsmod:hyper_rabbit, 5, 3, 4
158, plains, minecraft:plains, CREATURE, earthmobsmod:jumbo_rabbit, 5, 3, 4
159, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
160, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
161, plains, minecraft:plains, CREATURE, alexsmobs:bison, 9, 6, 10
162, plains, minecraft:plains, AMBIENT, minecraft:bat, 5, 8, 8
163, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 3, 1, 1
164, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
165, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
166, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
167, plains, minecraft:plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 3, 1, 1
168, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 3, 1, 2
169, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 6
170, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
171, plains, minecraft:plains, WATER_AMBIENT, aquaculture:red_grouper, 3, 1, 2
172, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
173, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
174, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
175, plains, minecraft:plains, WATER_AMBIENT, aquaculture:jellyfish, 3, 1, 3
176, plains, minecraft:plains, WATER_AMBIENT, aquaculture:tuna, 1, 1, 1
177, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 3, 1, 6
178, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
179, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 2, 5
180, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
181, plains, minecraft:plains, rascals, friendsandfoes:rascal, 5, 1, 1
182, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 70, 4, 4
183, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 70, 4, 4
184, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
185, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 70, 4, 4
186, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 70, 4, 4
187, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 50, 4, 4
188, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 15, 1, 4
189, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
190, none, minecraft:sunflower_plains, MONSTER, rottencreatures:undead_miner, 25, 1, 4
191, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:rancher, 30, 1, 2
192, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
193, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 3, 1, 1
194, none, minecraft:sunflower_plains, MONSTER, irons_spellbooks:necromancer, 20, 1, 1
195, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:invisiblebidy, 8, 1, 4
196, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thehorrors, 2, 1, 1
197, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 2, 1, 3
198, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 8, 1, 1
199, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:door_knight, 20, 1, 1
200, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
201, none, minecraft:sunflower_plains, MONSTER, earthmobsmod:bouldering_zombie, 20, 4, 4
202, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
203, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
204, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:sucker, 7, 2, 3
205, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
206, none, minecraft:sunflower_plains, MONSTER, minecraft:illusioner, 15, 1, 1
207, none, minecraft:sunflower_plains, MONSTER, majruszsdifficulty:tank, 3, 1, 1
208, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:meature, 3, 1, 4
209, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
210, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
211, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide, 20, 1, 1
212, none, minecraft:sunflower_plains, MONSTER, quark:stoneling, 70, 1, 1
213, none, minecraft:sunflower_plains, MONSTER, quark:toretoise, 40, 2, 4
214, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:corpse_fly, 1, 1, 3
215, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thehunter, 6, 2, 4
216, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:bomber, 7, 1, 2
217, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thegliter, 20, 2, 4
218, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 4, 1, 1
219, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:theswarmer, 8, 1, 1
220, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thebidy, 1, 3, 4
221, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
222, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:theheavy, 1, 1, 1
223, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thebeartamer, 8, 1, 1
224, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
225, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:gabble, 15, 1, 1
226, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thespitter, 7, 1, 1
227, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:crawler, 35, 1, 1
228, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 2, 1, 1
229, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thepregnant, 2, 1, 1
230, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thewolf, 4, 1, 2
231, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:silverking, 30, 1, 1
232, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
233, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:petriman, 35, 1, 3
234, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:spectre, 50, 1, 1
235, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
236, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
237, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:sprinter, 25, 1, 1
238, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:dreadnought, 1, 1, 1
239, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:equestrian, 15, 1, 1
240, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:vampire, 13, 1, 1
241, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:theordure, 4, 1, 1
242, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:senior, 18, 1, 1
243, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
244, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:fly, 1, 1, 5
245, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:slugger, 20, 1, 1
246, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
247, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:tarantula, 40, 1, 1
248, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:huntsmanskeleton, 40, 1, 2
249, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
250, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:slaveman, 1, 1, 1
251, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:caster, 10, 1, 1
252, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
253, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
254, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
255, none, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
256, none, minecraft:sunflower_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
257, none, minecraft:sunflower_plains, MONSTER, alexsmobs:murmur, 5, 1, 1
258, none, minecraft:sunflower_plains, MONSTER, undead_revamp2:thehorrorsdecoys, 3, 1, 2
259, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_demoman, 8, 1, 1
260, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:wolfsbane, 15, 1, 1
261, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
262, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 8, 1, 1
263, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
264, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:errant, 30, 1, 2
265, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:zobgoblin, 25, 1, 3
266, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
267, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:gallant, 25, 1, 1
268, none, minecraft:sunflower_plains, MONSTER, savage_and_ravage:skeleton_villager, 5, 1, 1
269, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
270, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:cockatrice, 15, 1, 1
271, none, minecraft:sunflower_plains, MONSTER, enemyexpansion:goblin, 35, 1, 3
272, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 6, 1, 1
273, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
274, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 8, 8
275, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
276, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 1, 1, 3
277, none, minecraft:sunflower_plains, CREATURE, friendsandfoes:moobloom, 2, 2, 4
278, none, minecraft:sunflower_plains, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
279, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:fancy_chicken, 6, 3, 6
280, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:duck, 8, 3, 6
281, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:albino_cow, 6, 3, 6
282, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:cream_cow, 6, 3, 6
283, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:teacup_pig, 5, 3, 6
284, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:hyper_rabbit, 5, 3, 4
285, none, minecraft:sunflower_plains, CREATURE, earthmobsmod:jumbo_rabbit, 5, 3, 4
286, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
287, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
288, none, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
289, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 9, 6, 10
290, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 5, 8, 8
291, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 3, 1, 1
292, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
293, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
294, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
295, none, minecraft:sunflower_plains, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 3, 1, 1
296, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 3, 1, 2
297, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 6
298, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
299, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:red_grouper, 3, 1, 2
300, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
301, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
302, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
303, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:jellyfish, 3, 1, 3
304, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:tuna, 1, 1, 1
305, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 3, 1, 6
306, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
307, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 2, 5
308, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
309, none, minecraft:sunflower_plains, rascals, friendsandfoes:rascal, 5, 1, 1
310, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 70, 4, 4
311, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 70, 4, 4
